7641000,301,ENGLISH CORE,052,C2
7641000,041,MATHEMATICS,052,C1
7641000,042,PHYSICS,049,D2
7641000,043,CHEMISTRY,049,D2
7641000,048,PHYSICAL EDUCATION,059,D1
7641000,500,WORK EXPERIENCE,---,A2
7641000,502,PHY & HEALTH EDUCA,---,B1
7641000,503,GENERAL STUDIES,---,C1
7641000,"",Result: PASS,"",""
7641001,301,ENGLISH CORE,040,D2
7641001,041,MATHEMATICS,004F,E
7641001,042,PHYSICS,032FT,E
7641001,043,CHEMISTRY,035FT,E
7641001,048,PHYSICAL EDUCATION,067,C1
7641001,500,WORK EXPERIENCE,---,B2
7641001,502,PHY & HEALTH EDUCA,---,B2
7641001,503,GENERAL STUDIES,---,C2
7641001,"",Result: FAIL,"",""
7641002,301,ENGLISH CORE,069,B2
7641002,041,MATHEMATICS,054,C1
7641002,042,PHYSICS,058,C2
7641002,043,CHEMISTRY,064,C2
7641002,048,PHYSICAL EDUCATION,065,C2
7641002,500,WORK EXPERIENCE,---,B1
7641002,502,PHY & HEALTH EDUCA,---,A2
7641002,503,GENERAL STUDIES,---,B1
7641002,"",Result: PASS,"",""
7641003,301,ENGLISH CORE,069,B2
7641003,041,MATHEMATICS,071,B1
7641003,042,PHYSICS,058,C2
7641003,043,CHEMISTRY,073,B2
7641003,048,PHYSICAL EDUCATION,076,B2
7641003,500,WORK EXPERIENCE,---,A2
7641003,502,PHY & HEALTH EDUCA,---,A1
7641003,503,GENERAL STUDIES,---,B1
7641003,"",Result: PASS,"",""
7641004,301,ENGLISH CORE,073,B2
7641004,041,MATHEMATICS,043,D1
7641004,042,PHYSICS,050,D2
7641004,043,CHEMISTRY,066,C1
7641004,048,PHYSICAL EDUCATION,073,B2
7641004,500,WORK EXPERIENCE,---,A2
7641004,502,PHY & HEALTH EDUCA,---,A2
7641004,503,GENERAL STUDIES,---,B1
7641004,"",Result: PASS,"",""
7641005,301,ENGLISH CORE,085,A2
7641005,041,MATHEMATICS,095,A1
7641005,042,PHYSICS,093,A1
7641005,043,CHEMISTRY,093,A1
7641005,048,PHYSICAL EDUCATION,083,A2
7641005,500,WORK EXPERIENCE,---,A1
7641005,502,PHY & HEALTH EDUCA,---,A2
7641005,503,GENERAL STUDIES,---,A1
7641005,"",Result: PASS,"",""
7641006,301,ENGLISH CORE,020F,E
7641006,041,MATHEMATICS,033,D2
7641006,042,PHYSICS,031FT,E
7641006,043,CHEMISTRY,032FT,E
7641006,048,PHYSICAL EDUCATION,051,D2
7641006,500,WORK EXPERIENCE,---,A2
7641006,502,PHY & HEALTH EDUCA,---,A2
7641006,503,GENERAL STUDIES,---,B1
7641006,"",Result: FAIL,"",""
7641007,301,ENGLISH CORE,045,D1
7641007,041,MATHEMATICS,017F,E
7641007,042,PHYSICS,048,D2
7641007,043,CHEMISTRY,051,D2
7641007,048,PHYSICAL EDUCATION,055,D2
7641007,500,WORK EXPERIENCE,---,B2
7641007,502,PHY & HEALTH EDUCA,---,B1
7641007,503,GENERAL STUDIES,---,C1
7641007,"",Result: COMP,"",""
7641008,301,ENGLISH CORE,073,B2
7641008,041,MATHEMATICS,010F,E
7641008,042,PHYSICS,032FT,E
7641008,043,CHEMISTRY,037FT,E
7641008,048,PHYSICAL EDUCATION,059,D1
7641008,500,WORK EXPERIENCE,---,B2
7641008,502,PHY & HEALTH EDUCA,---,B1
7641008,503,GENERAL STUDIES,---,C1
7641008,"",Result: FAIL,"",""
7641009,301,ENGLISH CORE,041,D2
7641009,041,MATHEMATICS,033,D2
7641009,042,PHYSICS,032FT,E
7641009,043,CHEMISTRY,053,D2
7641009,048,PHYSICAL EDUCATION,063,C2
7641009,500,WORK EXPERIENCE,---,B2
7641009,502,PHY & HEALTH EDUCA,---,B1
7641009,503,GENERAL STUDIES,---,B2
7641009,"",Result: COMP,"",""
7641010,301,ENGLISH CORE,054,C2
7641010,041,MATHEMATICS,033,D2
7641010,042,PHYSICS,031FT,E
7641010,043,CHEMISTRY,054,D1
7641010,048,PHYSICAL EDUCATION,074,B2
7641010,500,WORK EXPERIENCE,---,B2
7641010,502,PHY & HEALTH EDUCA,---,B1
7641010,503,GENERAL STUDIES,---,B2
7641010,"",Result: COMP,"",""
7641011,301,ENGLISH CORE,068,C1
7641011,041,MATHEMATICS,064,B2
7641011,042,PHYSICS,056,C2
7641011,043,CHEMISTRY,075,B2
7641011,048,PHYSICAL EDUCATION,081,B1
7641011,500,WORK EXPERIENCE,---,B1
7641011,502,PHY & HEALTH EDUCA,---,A2
7641011,503,GENERAL STUDIES,---,B2
7641011,"",Result: PASS,"",""
7641012,301,ENGLISH CORE,043,D1
7641012,041,MATHEMATICS,033,D2
7641012,042,PHYSICS,027FT,E
7641012,043,CHEMISTRY,048,D2
7641012,048,PHYSICAL EDUCATION,076,B2
7641012,500,WORK EXPERIENCE,---,C1
7641012,502,PHY & HEALTH EDUCA,---,B2
7641012,503,GENERAL STUDIES,---,C2
7641012,"",Result: COMP,"",""
7641013,301,ENGLISH CORE,070,B2
7641013,041,MATHEMATICS,008F,E
7641013,042,PHYSICS,051,D2
7641013,043,CHEMISTRY,055,D1
7641013,048,PHYSICAL EDUCATION,077,B1
7641013,500,WORK EXPERIENCE,---,B2
7641013,502,PHY & HEALTH EDUCA,---,B1
7641013,503,GENERAL STUDIES,---,B2
7641013,"",Result: COMP,"",""
7641014,301,ENGLISH CORE,048,D1
7641014,041,MATHEMATICS,043,D1
7641014,042,PHYSICS,029FT,E
7641014,043,CHEMISTRY,048,D2
7641014,048,PHYSICAL EDUCATION,077,B1
7641014,500,WORK EXPERIENCE,---,C1
7641014,502,PHY & HEALTH EDUCA,---,C1
7641014,503,GENERAL STUDIES,---,B2
7641014,"",Result: COMP,"",""
7641015,301,ENGLISH CORE,057,C2
7641015,041,MATHEMATICS,095,A1
7641015,042,PHYSICS,069,B2
7641015,043,CHEMISTRY,088,A2
7641015,048,PHYSICAL EDUCATION,093,A1
7641015,500,WORK EXPERIENCE,---,C1
7641015,502,PHY & HEALTH EDUCA,---,B2
7641015,503,GENERAL STUDIES,---,C2
7641015,"",Result: PASS,"",""
7641016,301,ENGLISH CORE,081,B1
7641016,041,MATHEMATICS,067,B1
7641016,042,PHYSICS,051,D2
7641016,043,CHEMISTRY,061,C2
7641016,048,PHYSICAL EDUCATION,087,A2
7641016,500,WORK EXPERIENCE,---,C1
7641016,502,PHY & HEALTH EDUCA,---,B1
7641016,503,GENERAL STUDIES,---,B2
7641016,"",Result: PASS,"",""
7641017,301,ENGLISH CORE,054,C2
7641017,041,MATHEMATICS,051,C1
7641017,042,PHYSICS,056,C2
7641017,043,CHEMISTRY,060,C2
7641017,048,PHYSICAL EDUCATION,080,B1
7641017,500,WORK EXPERIENCE,---,B1
7641017,502,PHY & HEALTH EDUCA,---,C1
7641017,503,GENERAL STUDIES,---,C2
7641017,"",Result: PASS,"",""
7641018,301,ENGLISH CORE,059,C2
7641018,041,MATHEMATICS,050,C1
7641018,042,PHYSICS,052,D1
7641018,043,CHEMISTRY,071,B2
7641018,048,PHYSICAL EDUCATION,079,B1
7641018,500,WORK EXPERIENCE,---,B2
7641018,502,PHY & HEALTH EDUCA,---,B2
7641018,503,GENERAL STUDIES,---,B2
7641018,"",Result: PASS,"",""
7641019,301,ENGLISH CORE,057,C2
7641019,041,MATHEMATICS,007F,E
7641019,042,PHYSICS,035FT,E
7641019,043,CHEMISTRY,031FT,E
7641019,048,PHYSICAL EDUCATION,071,C1
7641019,500,WORK EXPERIENCE,---,B2
7641019,502,PHY & HEALTH EDUCA,---,B1
7641019,503,GENERAL STUDIES,---,C2
7641019,"",Result: FAIL,"",""
7641020,301,ENGLISH CORE,047,D1
7641020,041,MATHEMATICS,016F,E
7641020,042,PHYSICS,031FT,E
7641020,043,CHEMISTRY,033FT,E
7641020,048,PHYSICAL EDUCATION,066,C2
7641020,500,WORK EXPERIENCE,---,C2
7641020,502,PHY & HEALTH EDUCA,---,B2
7641020,503,GENERAL STUDIES,---,D1
7641020,"",Result: FAIL,"",""
7641021,301,ENGLISH CORE,042,D2
7641021,041,MATHEMATICS,033,D2
7641021,042,PHYSICS,029FT,E
7641021,043,CHEMISTRY,052,D2
7641021,048,PHYSICAL EDUCATION,066,C2
7641021,500,WORK EXPERIENCE,---,D1
