2657011,034,MUSIC HIND.VOCAL,093,B1,true
2657011,"",Result: PASS,"","",true
2657012,301,ENGLISH CORE,035,D2,false
2657012,042,PHYSICS,050,D2,false
2657012,043,CHEMISTRY,072,B2,false
2657012,041,MATHEMATICS,048,C2,false
2657012,048,PHYSICAL EDUCATION,064,C2,false
2657012,500,WORK EXPERIENCE,---,A2,false
2657012,502,PHY & HEALTH EDUCA,---,A2,false
2657012,503,GENERAL STUDIES,---,B1,false
2657012,034,MUSIC HIND.VOCAL,086,C1,true
2657012,"",Result: PASS,"","",true
2657013,301,ENGLISH CORE,050,D1,false
2657013,042,PHYSICS,049,D2,false
2657013,043,CHEMISTRY,073,B2,false
2657013,041,MATHEMATICS,059,B2,false
2657013,048,PHYSICAL EDUCATION,066,C2,false
2657013,500,WORK EXPERIENCE,---,A2,false
2657013,502,PHY & HEALTH EDUCA,---,A2,false
2657013,503,GENERAL STUDIES,---,A1,false
2657013,034,MUSIC HIND.VOCAL,089,B2,true
2657013,"",Result: PASS,"","",true
2657014,301,ENGLISH CORE,041,D2,false
2657014,042,PHYSICS,050,D2,false
2657014,043,CHEMISTRY,077,B1,false
2657014,044,BIOLOGY,063,C2,false
2657014,048,PHYSICAL EDUCATION,071,C1,false
2657014,500,WORK EXPERIENCE,---,B1,false
2657014,502,PHY & HEALTH EDUCA,---,A2,false
2657014,503,GENERAL STUDIES,---,B2,false
2657014,034,MUSIC HIND.VOCAL,083,C2,true
2657014,"",Result: PASS,"","",true
2657015,301,ENGLISH CORE,043,D1,false
2657015,302,HINDI CORE,046,D2,false
2657015,029,GEOGRAPHY,056,C2,false
2657015,027,HISTORY,062,A2,false
2657015,048,PHYSICAL EDUCATION,067,C1,false
2657015,500,WORK EXPERIENCE,---,B1,false
2657015,502,PHY & HEALTH EDUCA,---,B1,false
2657015,503,GENERAL STUDIES,---,A2,false
2657015,034,MUSIC HIND.VOCAL,079,D1,true
2657015,"",Result: PASS,"","",true
2657016,301,ENGLISH CORE,083,A2,false
2657016,042,PHYSICS,072,B1,false
2657016,043,CHEMISTRY,089,A2,false
2657016,041,MATHEMATICS,060,B2,false
2657016,048,PHYSICAL EDUCATION,086,A2,false
2657016,500,WORK EXPERIENCE,---,A1,false
2657016,502,PHY & HEALTH EDUCA,---,A2,false
2657016,503,GENERAL STUDIES,---,A1,false
2657016,034,MUSIC HIND.VOCAL,090,B2,true
2657016,"",Result: PASS,"","",true
2657017,301,ENGLISH CORE,063,C1,false
2657017,042,PHYSICS,051,D2,false
