9613013,048,PHYSICAL EDUCATION,068,C1
9613013,"",Result: PASS,"",""
9613014,301,ENGLISH CORE,034,D2
9613014,030,ECONOMICS,009F,E
9613014,041,MATHEMATICS,010F,E
9613014,054,BUSINESS STUDIES,018FT,E
9613014,055,ACCOUNTANCY,028FT,E
9613014,500,WORK EXPERIENCE,---,C2
9613014,502,PHY & HEALTH EDUCA,---,C2
9613014,503,GENERAL STUDIES,---,C1
9613014,Additional Subject
9613014,048,PHYSICAL EDUCATION,066,C2
9613014,"",Result: FAIL,"",""
9613015,301,ENGLISH CORE,043,D1
9613015,030,ECONOMICS,033,D2
9613015,048,PHYSICAL EDUCATION,069,C1
9613015,054,BUSINESS STUDIES,022FT,E
9613015,055,ACCOUNTANCY,053,C2
9613015,500,WORK EXPERIENCE,---,C2
9613015,502,PHY & HEALTH EDUCA,---,C2
9613015,503,GENERAL STUDIES,---,C1
9613015,Additional Subject
9613015,041,MATHEMATICS,011 F,E
9613015,"",Result: COMP,"",""
9613016,301,ENGLISH CORE,043,D1
9613016,030,ECONOMICS,058,B2
9613016,041,MATHEMATICS,033,D2
9613016,054,BUSINESS STUDIES,044,D2
9613016,055,ACCOUNTANCY,041,D2
9613016,500,WORK EXPERIENCE,---,C1
9613016,502,PHY & HEALTH EDUCA,---,C1
9613016,503,GENERAL STUDIES,---,C2
9613016,Additional Subject
9613016,048,PHYSICAL EDUCATION,066,C2
9613016,"",Result: PASS,"",""
9613017,301,ENGLISH CORE,046,D1
9613017,030,ECONOMICS,062,B2
9613017,041,MATHEMATICS,033,D2
9613017,054,BUSINESS STUDIES,060,C1
9613017,055,ACCOUNTANCY,050,D1
9613017,500,WORK EXPERIENCE,---,A1
9613017,502,PHY & HEALTH EDUCA,---,A2
9613017,503,GENERAL STUDIES,---,A2
9613017,Additional Subject
9613017,048,PHYSICAL EDUCATION,052,D2
9613017,"",Result: PASS,"",""
9613018,301,ENGLISH CORE,045,D1
9613018,030,ECONOMICS,033,D2
9613018,048,PHYSICAL EDUCATION,052,D2
9613018,054,BUSINESS STUDIES,021FT,E
9613018,055,ACCOUNTANCY,045,D1
9613018,500,WORK EXPERIENCE,---,B1
9613018,502,PHY & HEALTH EDUCA,---,B1
9613018,503,GENERAL STUDIES,---,B2
9613018,Additional Subject
9613018,041,MATHEMATICS,005 F,E
9613018,"",Result: COMP,"",""
9613019,301,ENGLISH CORE,043,D1
9613019,030,ECONOMICS,043,C2
9613019,048,PHYSICAL EDUCATION,052,D2
9613019,054,BUSINESS STUDIES,039,D2
9613019,055,ACCOUNTANCY,043,D2
9613019,500,WORK EXPERIENCE,---,B1
9613019,502,PHY & HEALTH EDUCA,---,B1
9613019,503,GENERAL STUDIES,---,B2
9613019,Additional Subject
9613019,041,MATHEMATICS,009 F,E
9613019,"",Result: PASS,"",""
9613020,301,ENGLISH CORE,033,D2
9613020,030,ECONOMICS,041,C2
9613020,041,MATHEMATICS,013F,E
9613020,048,PHYSICAL EDUCATION,058,D1
9613020,055,ACCOUNTANCY,053,C2
9613020,500,WORK EXPERIENCE,---,B1
9613020,502,PHY & HEALTH EDUCA,---,B1
9613020,503,GENERAL STUDIES,---,B2
9613020,Additional Subject
9613020,054,BUSINESS STUDIES,018 FT,E
9613020,"",Result: COMP,"",""
9613021,301,ENGLISH CORE,011F,E
9613021,030,ECONOMICS,009F,E
9613021,041,MATHEMATICS,004F,E
9613021,054,BUSINESS STUDIES,013FT,E
9613021,055,ACCOUNTANCY,023FT,E
9613021,500,WORK EXPERIENCE,---,C1
9613021,502,PHY & HEALTH EDUCA,---,C1
9613021,503,GENERAL STUDIES,---,C2
9613021,Additional Subject
9613021,048,PHYSICAL EDUCATION,051,D2
9613021,"",Result: FAIL,"",""
9613022,301,ENGLISH CORE,057,C2
9613022,030,ECONOMICS,033,D2
9613022,048,PHYSICAL EDUCATION,053,D2
9613022,054,BUSINESS STUDIES,025FT,E
9613022,055,ACCOUNTANCY,046,D1
9613022,500,WORK EXPERIENCE,---,A1
9613022,502,PHY & HEALTH EDUCA,---,A2
9613022,503,GENERAL STUDIES,---,A2
9613022,Additional Subject
9613022,041,MATHEMATICS,012 F,E
9613022,"",Result: COMP,"",""
9613023,301,ENGLISH CORE,018F,E
9613023,030,ECONOMICS,007F,E
9613023,041,MATHEMATICS,002F,E
9613023,054,BUSINESS STUDIES,014FT,E
9613023,055,ACCOUNTANCY,028FT,E
9613023,500,WORK EXPERIENCE,---,B2
9613023,502,PHY & HEALTH EDUCA,---,B2
9613023,503,GENERAL STUDIES,---,B1
9613023,Additional Subject
9613023,048,PHYSICAL EDUCATION,055,D2
9613023,"",Result: FAIL,"",""
9613024,301,ENGLISH CORE,043,D1
9613024,030,ECONOMICS,010F,E
9613024,041,MATHEMATICS,003F,E
9613024,054,BUSINESS STUDIES,023FT,E
9613024,055,ACCOUNTANCY,024FT,E
9613024,500,WORK EXPERIENCE,---,C1
9613024,502,PHY & HEALTH EDUCA,---,C1
9613024,503,GENERAL STUDIES,---,C2
9613024,Additional Subject
9613024,048,PHYSICAL EDUCATION,058,D1
9613024,"",Result: FAIL,"",""
9613025,301,ENGLISH CORE,033,D2
9613025,030,ECONOMICS,040,D1
9613025,048,PHYSICAL EDUCATION,054,D2
9613025,054,BUSINESS STUDIES,044,D2
9613025,055,ACCOUNTANCY,041,D2
9613025,500,WORK EXPERIENCE,---,D2
9613025,502,PHY & HEALTH EDUCA,---,D2
9613025,503,GENERAL STUDIES,---,D1
9613025,Additional Subject
9613025,041,MATHEMATICS,006 F,E
9613025,"",Result: PASS,"",""
9613026,301,ENGLISH CORE,035,D2
9613026,030,ECONOMICS,004F,E
9613026,041,MATHEMATICS,002F,E
9613026,054,BUSINESS STUDIES,010FT,E
9613026,055,ACCOUNTANCY,022FT,E
9613026,500,WORK EXPERIENCE,---,D1
9613026,502,PHY & HEALTH EDUCA,---,D1
9613026,503,GENERAL STUDIES,---,D2
9613026,Additional Subject
9613026,048,PHYSICAL EDUCATION,039 FT,E
9613026,"",Result: FAIL,"",""
9613027,301,ENGLISH CORE,043,D1
9613027,030,ECONOMICS,000F,E
9613027,041,MATHEMATICS,001F,E
9613027,054,BUSINESS STUDIES,016FT,E
9613027,055,ACCOUNTANCY,020FT,E
9613027,500,WORK EXPERIENCE,---,D1
9613027,502,PHY & HEALTH EDUCA,---,D1
9613027,503,GENERAL STUDIES,---,D2
9613027,Additional Subject
9613027,048,PHYSICAL EDUCATION,041 FT,E
9613027,"",Result: FAIL,"",""
9613028,301,ENGLISH CORE,059,C2
9613028,030,ECONOMICS,033,D2
9613028,041,MATHEMATICS,044,C2
9613028,054,BUSINESS STUDIES,046,D1
9613028,055,ACCOUNTANCY,046,D1
9613028,500,WORK EXPERIENCE,---,A2
9613028,502,PHY & HEALTH EDUCA,---,A1
9613028,503,GENERAL STUDIES,---,A1
9613028,Additional Subject
9613028,048,PHYSICAL EDUCATION,051,D2
9613028,"",Result: PASS,"",""
9613029,301,ENGLISH CORE,020F,E
9613029,030,ECONOMICS,003F,E
9613029,041,MATHEMATICS,015F,E
9613029,054,BUSINESS STUDIES,013FT,E
9613029,055,ACCOUNTANCY,028FT,E
9613029,500,WORK EXPERIENCE,---,B2
9613029,502,PHY & HEALTH EDUCA,---,B2
9613029,503,GENERAL STUDIES,---,B1
9613029,Additional Subject
9613029,048,PHYSICAL EDUCATION,053,D2
9613029,"",Result: FAIL,"",""
9613030,301,ENGLISH CORE,016F,E
9613030,030,ECONOMICS,007F,E
9613030,041,MATHEMATICS,033,D2
9613030,054,BUSINESS STUDIES,016FT,E
9613030,055,ACCOUNTANCY,030FT,E
9613030,500,WORK EXPERIENCE,---,D1
9613030,502,PHY & HEALTH EDUCA,---,D1
9613030,503,GENERAL STUDIES,---,D2
9613030,Additional Subject
9613030,048,PHYSICAL EDUCATION,052,D2
9613030,"",Result: FAIL,"",""
9613031,301,ENGLISH CORE,056,C2
9613031,030,ECONOMICS,039,D1
9613031,041,MATHEMATICS,050,C1
9613031,054,BUSINESS STUDIES,039,D2
9613031,055,ACCOUNTANCY,054,C2
9613031,500,WORK EXPERIENCE,---,D1
9613031,502,PHY & HEALTH EDUCA,---,D1
9613031,503,GENERAL STUDIES,---,B2
9613031,Additional Subject
9613031,048,PHYSICAL EDUCATION,055,D2
9613031,"",Result: PASS,"",""
9613032,301,ENGLISH CORE,015F,E
9613032,030,ECONOMICS,000F,E
9613032,041,MATHEMATICS,003F,E
9613032,054,BUSINESS STUDIES,009FT,E
9613032,055,ACCOUNTANCY,015FT,E
9613032,500,WORK EXPERIENCE,---,D2
9613032,502,PHY & HEALTH EDUCA,---,D2
9613032,503,GENERAL STUDIES,---,D1
9613032,Additional Subject
9613032,048,PHYSICAL EDUCATION,052,D2
9613032,"",Result: FAIL,"",""
9613033,301,ENGLISH CORE,044,D1
9613033,030,ECONOMICS,040,D1
9613033,041,MATHEMATICS,033,D2
9613033,048,PHYSICAL EDUCATION,055,D2
9613033,055,ACCOUNTANCY,046,D1
9613033,500,WORK EXPERIENCE,---,D1
9613033,502,PHY & HEALTH EDUCA,---,D1
9613033,503,GENERAL STUDIES,---,D2
9613033,Additional Subject
9613033,054,BUSINESS STUDIES,027 FT,E
9613033,"",Result: PASS,"",""
9613034,301,ENGLISH CORE,034,D2
9613034,030,ECONOMICS,006F,E
9613034,041,MATHEMATICS,008F,E
9613034,054,BUSINESS STUDIES,011FT,E
9613034,055,ACCOUNTANCY,017FT,E
9613034,500,WORK EXPERIENCE,---,D2
9613034,502,PHY & HEALTH EDUCA,---,D2
9613034,503,GENERAL STUDIES,---,D1
9613034,Additional Subject
9613034,048,PHYSICAL EDUCATION,052,D2
9613034,"",Result: FAIL,"",""
9613035,301,ENGLISH CORE,018F,E
9613035,030,ECONOMICS,012F,E
9613035,041,MATHEMATICS,018F,E
9613035,054,BUSINESS STUDIES,020FT,E
9613035,055,ACCOUNTANCY,023FT,E
9613035,500,WORK EXPERIENCE,---,C1
9613035,502,PHY & HEALTH EDUCA,---,C1
9613035,503,GENERAL STUDIES,---,C2
9613035,Additional Subject
9613035,048,PHYSICAL EDUCATION,053,D2
9613035,"",Result: FAIL,"",""
9613036,301,ENGLISH CORE,017F,E
9613036,030,ECONOMICS,ABA,""
9613036,041,MATHEMATICS,009F,E
9613036,054,BUSINESS STUDIES,011FT,E
9613036,055,ACCOUNTANCY,021FT,E
9613036,500,WORK EXPERIENCE,---,D1
9613036,502,PHY & HEALTH EDUCA,---,D1
9613036,503,GENERAL STUDIES,---,D2
9613036,Additional Subject
9613036,048,PHYSICAL EDUCATION,053,D2
9613036,"",Result: FAIL,"",""
9613037,301,ENGLISH CORE,056,C2
9613037,041,MATHEMATICS,033,D2
9613037,048,PHYSICAL EDUCATION,051,D2
9613037,054,BUSINESS STUDIES,024FT,E
9613037,055,ACCOUNTANCY,044,D2
9613037,500,WORK EXPERIENCE,---,B2
9613037,502,PHY & HEALTH EDUCA,---,B2
9613037,503,GENERAL STUDIES,---,B1
9613037,Additional Subject
9613037,030,ECONOMICS,015 F,E
9613037,"",Result: COMP,"",""
9613038,301,ENGLISH CORE,022F,E
9613038,030,ECONOMICS,003F,E
9613038,041,MATHEMATICS,016F,E
9613038,054,BUSINESS STUDIES,013FT,E
9613038,055,ACCOUNTANCY,022FT,E
9613038,500,WORK EXPERIENCE,---,B2
9613038,502,PHY & HEALTH EDUCA,---,B2
9613038,503,GENERAL STUDIES,---,B1
9613038,Additional Subject
9613038,048,PHYSICAL EDUCATION,050 FT,E
9613038,"",Result: FAIL,"",""
9613039,301,ENGLISH CORE,050,D1
9613039,030,ECONOMICS,006F,E
9613039,041,MATHEMATICS,006F,E
9613039,054,BUSINESS STUDIES,013FT,E
9613039,055,ACCOUNTANCY,022FT,E
9613039,500,WORK EXPERIENCE,---,D2
9613039,502,PHY & HEALTH EDUCA,---,D2
9613039,503,GENERAL STUDIES,---,D1
9613039,Additional Subject
9613039,048,PHYSICAL EDUCATION,053,D2
9613039,"",Result: FAIL,"",""
9613040,301,ENGLISH CORE,019F,E
9613040,030,ECONOMICS,016F,E
9613040,041,MATHEMATICS,017F,E
9613040,054,BUSINESS STUDIES,015FT,E
9613040,055,ACCOUNTANCY,018FT,E
9613040,500,WORK EXPERIENCE,---,C1
9613040,502,PHY & HEALTH EDUCA,---,C1
9613040,503,GENERAL STUDIES,---,C2
9613040,Additional Subject
9613040,048,PHYSICAL EDUCATION,041 FT,E
9613040,"",Result: FAIL,"",""
9613041,301,ENGLISH CORE,022F,E
9613041,030,ECONOMICS,016F,E
9613041,041,MATHEMATICS,021F,E
9613041,054,BUSINESS STUDIES,011FT,E
9613041,055,ACCOUNTANCY,024FT,E
9613041,500,WORK EXPERIENCE,---,D2
9613041,502,PHY & HEALTH EDUCA,---,D2
9613041,503,GENERAL STUDIES,---,D1
9613041,Additional Subject
9613041,048,PHYSICAL EDUCATION,057,D1
9613041,"",Result: FAIL,"",""
9613042,301,ENGLISH CORE,020F,E
9613042,030,ECONOMICS,015F,E
9613042,041,MATHEMATICS,013F,E
9613042,054,BUSINESS STUDIES,020FT,E
9613042,055,ACCOUNTANCY,026FT,E
9613042,500,WORK EXPERIENCE,---,B2
9613042,502,PHY & HEALTH EDUCA,---,B2
9613042,503,GENERAL STUDIES,---,B1
9613042,Additional Subject
9613042,048,PHYSICAL EDUCATION,061,D1
9613042,"",Result: FAIL,"",""
9613043,301,ENGLISH CORE,043,D1
9613043,041,MATHEMATICS,045,C2
9613043,048,PHYSICAL EDUCATION,066,C2
9613043,054,BUSINESS STUDIES,035,D2
9613043,055,ACCOUNTANCY,043,D2
9613043,500,WORK EXPERIENCE,---,B1
9613043,502,PHY & HEALTH EDUCA,---,B1
9613043,503,GENERAL STUDIES,---,B2
9613043,Additional Subject
9613043,030,ECONOMICS,019 F,E
9613043,"",Result: PASS,"",""
9613044,301,ENGLISH CORE,043,D1
9613044,030,ECONOMICS,055,B2
9613044,041,MATHEMATICS,044,C2
9613044,048,PHYSICAL EDUCATION,057,D1
9613044,055,ACCOUNTANCY,043,D2
9613044,500,WORK EXPERIENCE,---,A2
9613044,502,PHY & HEALTH EDUCA,---,B2
9613044,503,GENERAL STUDIES,---,B1
9613044,Additional Subject
9613044,054,BUSINESS STUDIES,022 FT,E
