9744000,301,ENGLISH CORE,010F,E
9744000,622,ENGINEERING SCI.,051,C2
9744000,623,ELECTRIC MACHINES,070,C1
9744000,624,ELECT APPLIANCES,079,B1
9744000,626,MECH. ENGINEERING,051,D2
9744000,502,PHY & HEALTH EDUCA,---,A1
9744000,501,GEN FOUND COURSE,---,D2
9744000,Additional Subject
9744000,041,MATHEMATICS,000 F,E
9744000,"",Result: COMP,"",""
9744001,301,ENGLISH CORE,005F,E
9744001,622,ENGINEERING SCI.,048,D1
9744001,623,ELECTRIC MACHINES,069,C1
9744001,624,ELECT APPLIANCES,078,B1
9744001,626,MECH. ENGINEERING,050,D2
9744001,502,PHY & HEALTH EDUCA,---,C2
9744001,501,GEN FOUND COURSE,---,B1
9744001,Additional Subject
9744001,041,MATHEMATICS,011 F,E
9744001,"",Result: COMP,"",""
9744002,301,ENGLISH CORE,033,D2
9744002,041,MATHEMATICS,033,D2
9744002,622,ENGINEERING SCI.,049,D1
9744002,623,ELECTRIC MACHINES,082,A2
9744002,624,ELECT APPLIANCES,080,A2
9744002,502,PHY & HEALTH EDUCA,---,B2
9744002,501,GEN FOUND COURSE,---,D1
9744002,Additional Subject
9744002,626,MECH. ENGINEERING,050,D2
9744002,"",Result: PASS,"",""
9744003,301,ENGLISH CORE,050,D1
9744003,041,MATHEMATICS,033,D2
9744003,622,ENGINEERING SCI.,055,C1
9744003,623,ELECTRIC MACHINES,075,B2
9744003,624,ELECT APPLIANCES,089,A1
9744003,502,PHY & HEALTH EDUCA,---,B1
9744003,501,GEN FOUND COURSE,---,C1
9744003,Additional Subject
9744003,626,MECH. ENGINEERING,061,D1
9744003,"",Result: PASS,"",""
9744004,301,ENGLISH CORE,033,D2
9744004,622,ENGINEERING SCI.,052,C2
9744004,623,ELECTRIC MACHINES,076,B1
9744004,624,ELECT APPLIANCES,080,A2
9744004,626,MECH. ENGINEERING,053,D2
9744004,502,PHY & HEALTH EDUCA,---,A2
9744004,501,GEN FOUND COURSE,---,B2
9744004,Additional Subject
9744004,041,MATHEMATICS,010 F,E
9744004,"",Result: PASS,"",""
9744005,301,ENGLISH CORE,051,D1
9744005,622,ENGINEERING SCI.,049,D1
9744005,623,ELECTRIC MACHINES,073,B2
9744005,624,ELECT APPLIANCES,081,A2
9744005,626,MECH. ENGINEERING,053,D2
9744005,502,PHY & HEALTH EDUCA,---,C1
9744005,501,GEN FOUND COURSE,---,A1
9744005,Additional Subject
9744005,041,MATHEMATICS,003 F,E
9744005,"",Result: PASS,"",""
9744006,301,ENGLISH CORE,033,D2
9744006,622,ENGINEERING SCI.,050,D1
9744006,623,ELECTRIC MACHINES,069,C1
9744006,624,ELECT APPLIANCES,081,A2
9744006,626,MECH. ENGINEERING,053,D2
9744006,502,PHY & HEALTH EDUCA,---,D1
9744006,501,GEN FOUND COURSE,---,A2
9744006,Additional Subject
9744006,041,MATHEMATICS,004 F,E
9744006,"",Result: PASS,"",""
9744007,301,ENGLISH CORE,008F,E
9744007,041,MATHEMATICS,033,D2
9744007,622,ENGINEERING SCI.,054,C1
9744007,623,ELECTRIC MACHINES,070,C1
9744007,624,ELECT APPLIANCES,078,B1
9744007,502,PHY & HEALTH EDUCA,---,D2
9744007,501,GEN FOUND COURSE,---,B1
9744007,Additional Subject
9744007,626,MECH. ENGINEERING,056,D1
9744007,"",Result: COMP,"",""
9744008,301,ENGLISH CORE,011F,E
9744008,041,MATHEMATICS,033,D2
9744008,622,ENGINEERING SCI.,053,C1
9744008,623,ELECTRIC MACHINES,082,A2
9744008,624,ELECT APPLIANCES,084,A2
9744008,502,PHY & HEALTH EDUCA,---,C2
9744008,501,GEN FOUND COURSE,---,B2
9744008,Additional Subject
9744008,626,MECH. ENGINEERING,054,D2
9744008,"",Result: COMP,"",""
9744009,301,ENGLISH CORE,033,D2
9744009,041,MATHEMATICS,033,D2
9744009,622,ENGINEERING SCI.,048,D1
9744009,623,ELECTRIC MACHINES,078,B1
9744009,624,ELECT APPLIANCES,077,B1
9744009,502,PHY & HEALTH EDUCA,---,B2
