1689001,301,ENGLISH CORE,078,B1
1689001,042,PHYSICS,048,D2
1689001,043,CHEMISTRY,067,C1
1689001,044,BIOLOGY,068,C1
1689001,048,PHYSICAL EDUCATION,071,C1
1689001,500,WORK EXPERIENCE,---,A2
1689001,502,PHY & HEALTH EDUCA,---,B1
1689001,503,GENERAL STUDIES,---,A2
1689001,"",Result: PASS,"",""
1689002,301,ENGLISH CORE,062,C1
1689002,041,MATHEMATICS,033,D2
1689002,042,PHYSICS,056,C2
1689002,043,CHEMISTRY,066,C1
1689002,048,PHYSICAL EDUCATION,069,C1
1689002,500,WORK EXPERIENCE,---,A2
1689002,502,PHY & HEALTH EDUCA,---,A2
1689002,503,GENERAL STUDIES,---,A2
1689002,"",Result: PASS,"",""
1689003,301,ENGLISH CORE,087,A2
1689003,041,MATHEMATICS,083,A2
1689003,042,PHYSICS,074,B1
1689003,043,CHEMISTRY,089,A2
1689003,048,PHYSICAL EDUCATION,079,B1
1689003,500,WORK EXPERIENCE,---,A1
1689003,502,PHY & HEALTH EDUCA,---,A2
1689003,503,GENERAL STUDIES,---,A2
1689003,"",Result: PASS,"",""
1689004,301,ENGLISH CORE,078,B1
1689004,042,PHYSICS,059,C1
1689004,043,CHEMISTRY,081,B1
1689004,044,BIOLOGY,062,C2
1689004,048,PHYSICAL EDUCATION,070,C1
1689004,500,WORK EXPERIENCE,---,A2
1689004,502,PHY & HEALTH EDUCA,---,A2
1689004,503,GENERAL STUDIES,---,A2
1689004,"",Result: PASS,"",""
1689005,301,ENGLISH CORE,089,A2
1689005,041,MATHEMATICS,054,C1
1689005,042,PHYSICS,066,B2
1689005,043,CHEMISTRY,072,B2
1689005,048,PHYSICAL EDUCATION,073,B2
1689005,500,WORK EXPERIENCE,---,A1
1689005,502,PHY & HEALTH EDUCA,---,A2
1689005,503,GENERAL STUDIES,---,A2
1689005,"",Result: PASS,"",""
1689006,301,ENGLISH CORE,087,A2
1689006,041,MATHEMATICS,078,A2
1689006,042,PHYSICS,079,A2
1689006,043,CHEMISTRY,086,A2
1689006,048,PHYSICAL EDUCATION,086,A2
