1617001,301,ENGLISH CORE,077,B1
1617001,030,ECONOMICS,082,A2
1617001,041,MATHEMATICS,078,A2
1617001,054,BUSINESS STUDIES,096,A1
1617001,055,ACCOUNTANCY,095,A1
1617001,500,WORK EXPERIENCE,---,B2
1617001,502,PHY & HEALTH EDUCA,---,C2
1617001,503,GENERAL STUDIES,---,C2
1617001,Additional Subject
1617001,048,PHYSICAL EDUCATION,059,D1
1617001,"",Result: PASS,"",""
1617002,301,ENGLISH CORE,082,B1
1617002,041,MATHEMATICS,058,B2
1617002,054,BUSINESS STUDIES,095,A1
1617002,055,ACCOUNTANCY,090,A1
1617002,607,TYPOGRAPHY &CA ENG,094,A1
1617002,500,WORK EXPERIENCE,---,A1
1617002,502,PHY & HEALTH EDUCA,---,A2
1617002,503,GENERAL STUDIES,---,A2
1617002,Additional Subject
1617002,048,PHYSICAL EDUCATION,075,B2
1617002,"",Result: PASS,"",""
1617003,301,ENGLISH CORE,090,A1
1617003,302,HINDI CORE,079,B1
1617003,030,ECONOMICS,086,A1
1617003,054,BUSINESS STUDIES,067,B2
1617003,055,ACCOUNTANCY,092,A1
1617003,500,WORK EXPERIENCE,---,A1
1617003,502,PHY & HEALTH EDUCA,---,A2
1617003,503,GENERAL STUDIES,---,A1
1617003,Additional Subject
1617003,048,PHYSICAL EDUCATION,063,C2
1617003,"",Result: PASS,"",""
1617004,301,ENGLISH CORE,088,A2
1617004,041,MATHEMATICS,090,A2
1617004,054,BUSINESS STUDIES,079,B1
1617004,055,ACCOUNTANCY,092,A1
1617004,607,TYPOGRAPHY &CA ENG,091,A1
1617004,500,WORK EXPERIENCE,---,A1
1617004,502,PHY & HEALTH EDUCA,---,A1
1617004,503,GENERAL STUDIES,---,A1
1617004,Additional Subject
1617004,048,PHYSICAL EDUCATION,053,D2
1617004,"",Result: PASS,"",""
1617005,301,ENGLISH CORE,077,B1
1617005,030,ECONOMICS,067,B1
1617005,041,MATHEMATICS,052,C1
1617005,054,BUSINESS STUDIES,094,A1
1617005,055,ACCOUNTANCY,084,A2
1617005,500,WORK EXPERIENCE,---,B1
1617005,502,PHY & HEALTH EDUCA,---,B1
1617005,503,GENERAL STUDIES,---,B1
1617005,Additional Subject
1617005,048,PHYSICAL EDUCATION,068,C1
1617005,"",Result: PASS,"",""
1617006,301,ENGLISH CORE,085,A2
1617006,030,ECONOMICS,065,B1
1617006,041,MATHEMATICS,033,D2
1617006,054,BUSINESS STUDIES,065,C1
1617006,055,ACCOUNTANCY,061,C1
1617006,500,WORK EXPERIENCE,---,B1
1617006,502,PHY & HEALTH EDUCA,---,B2
1617006,503,GENERAL STUDIES,---,B2
1617006,Additional Subject
1617006,048,PHYSICAL EDUCATION,066,C2
1617006,"",Result: PASS,"",""
1617007,301,ENGLISH CORE,067,C1
1617007,030,ECONOMICS,045,C2
1617007,054,BUSINESS STUDIES,038,D2
1617007,055,ACCOUNTANCY,066,B2
1617007,065,INFORMATICS PRAC.,056,D2
1617007,500,WORK EXPERIENCE,---,B2
1617007,502,PHY & HEALTH EDUCA,---,C1
1617007,503,GENERAL STUDIES,---,C1
1617007,Additional Subject
1617007,048,PHYSICAL EDUCATION,057,D1
1617007,"",Result: PASS,"",""
1617008,301,ENGLISH CORE,082,B1
1617008,041,MATHEMATICS,036,D1
1617008,054,BUSINESS STUDIES,077,B1
1617008,055,ACCOUNTANCY,079,A2
1617008,607,TYPOGRAPHY &CA ENG,086,A2
1617008,500,WORK EXPERIENCE,---,B1
1617008,502,PHY & HEALTH EDUCA,---,B2
1617008,503,GENERAL STUDIES,---,B2
1617008,Additional Subject
1617008,048,PHYSICAL EDUCATION,056,D1
1617008,"",Result: PASS,"",""
1617009,301,ENGLISH CORE,082,B1
1617009,302,HINDI CORE,085,A2
1617009,030,ECONOMICS,062,B2
1617009,054,BUSINESS STUDIES,087,A2
1617009,055,ACCOUNTANCY,086,A2
1617009,500,WORK EXPERIENCE,---,B2
1617009,502,PHY & HEALTH EDUCA,---,B2
1617009,503,GENERAL STUDIES,---,B1
1617009,Additional Subject
1617009,048,PHYSICAL EDUCATION,062,C2
1617009,"",Result: PASS,"",""
1617010,301,ENGLISH CORE,095,A1
1617010,030,ECONOMICS,095,A1
1617010,041,MATHEMATICS,095,A1
1617010,054,BUSINESS STUDIES,096,A1
1617010,055,ACCOUNTANCY,095,A1
1617010,500,WORK EXPERIENCE,---,A1
1617010,502,PHY & HEALTH EDUCA,---,A1
1617010,503,GENERAL STUDIES,---,A1
1617010,Additional Subject
1617010,048,PHYSICAL EDUCATION,083,A2
1617010,"",Result: PASS,"",""
1617011,301,ENGLISH CORE,069,B2
1617011,302,HINDI CORE,059,C2
1617011,030,ECONOMICS,042,C2
1617011,054,BUSINESS STUDIES,056,C2
1617011,055,ACCOUNTANCY,056,C1
1617011,500,WORK EXPERIENCE,---,A1
1617011,502,PHY & HEALTH EDUCA,---,A1
1617011,503,GENERAL STUDIES,---,A1
1617011,Additional Subject
1617011,048,PHYSICAL EDUCATION,053,D2
1617011,"",Result: PASS,"",""
1617012,301,ENGLISH CORE,087,A2
1617012,030,ECONOMICS,047,C1
1617012,054,BUSINESS STUDIES,055,C2
1617012,055,ACCOUNTANCY,067,B2
1617012,065,INFORMATICS PRAC.,063,D1
1617012,500,WORK EXPERIENCE,---,A2
1617012,502,PHY & HEALTH EDUCA,---,A1
1617012,503,GENERAL STUDIES,---,A2
1617012,Additional Subject
1617012,048,PHYSICAL EDUCATION,063,C2
1617012,"",Result: PASS,"",""
1617013,301,ENGLISH CORE,075,B2
1617013,030,ECONOMICS,071,B1
1617013,041,MATHEMATICS,056,C1
1617013,054,BUSINESS STUDIES,054,C2
1617013,055,ACCOUNTANCY,073,B1
1617013,500,WORK EXPERIENCE,---,A2
1617013,502,PHY & HEALTH EDUCA,---,B1
1617013,503,GENERAL STUDIES,---,B1
1617013,Additional Subject
1617013,048,PHYSICAL EDUCATION,071,C1
1617013,"",Result: PASS,"",""
1617014,301,ENGLISH CORE,074,B2
1617014,030,ECONOMICS,079,A2
1617014,054,BUSINESS STUDIES,079,B1
1617014,055,ACCOUNTANCY,056,C1
1617014,065,INFORMATICS PRAC.,082,B2
1617014,500,WORK EXPERIENCE,---,B2
1617014,502,PHY & HEALTH EDUCA,---,C1
1617014,503,GENERAL STUDIES,---,D1
1617014,Additional Subject
1617014,048,PHYSICAL EDUCATION,054,D2
1617014,"",Result: PASS,"",""
1617015,301,ENGLISH CORE,088,A2
1617015,030,ECONOMICS,082,A2
1617015,041,MATHEMATICS,068,B1
1617015,054,BUSINESS STUDIES,095,A1
1617015,055,ACCOUNTANCY,083,A2
1617015,500,WORK EXPERIENCE,---,A2
1617015,502,PHY & HEALTH EDUCA,---,A2
1617015,503,GENERAL STUDIES,---,B1
1617015,Additional Subject
1617015,048,PHYSICAL EDUCATION,056,D1
1617015,"",Result: PASS,"",""
1617016,301,ENGLISH CORE,067,C1
1617016,030,ECONOMICS,055,B2
1617016,054,BUSINESS STUDIES,070,B2
1617016,055,ACCOUNTANCY,064,B2
1617016,065,INFORMATICS PRAC.,080,B2
1617016,500,WORK EXPERIENCE,---,A1
1617016,502,PHY & HEALTH EDUCA,---,A1
1617016,503,GENERAL STUDIES,---,A2
1617016,Additional Subject
1617016,048,PHYSICAL EDUCATION,057,D1
1617016,"",Result: PASS,"",""
1617017,301,ENGLISH CORE,058,C2
1617017,302,HINDI CORE,064,C1
1617017,054,BUSINESS STUDIES,046,D1
1617017,055,ACCOUNTANCY,055,C2
1617017,607,TYPOGRAPHY &CA ENG,085,A2
1617017,500,WORK EXPERIENCE,---,B2
1617017,502,PHY & HEALTH EDUCA,---,C1
1617017,503,GENERAL STUDIES,---,C2
1617017,Additional Subject
1617017,048,PHYSICAL EDUCATION,053,D2
1617017,"",Result: PASS,"",""
1617018,301,ENGLISH CORE,082,B1
1617018,302,HINDI CORE,082,A2
1617018,054,BUSINESS STUDIES,087,A2
1617018,055,ACCOUNTANCY,063,B2
1617018,607,TYPOGRAPHY &CA ENG,093,A1
1617018,500,WORK EXPERIENCE,---,B2
1617018,502,PHY & HEALTH EDUCA,---,B2
1617018,503,GENERAL STUDIES,---,B2
1617018,Additional Subject
1617018,048,PHYSICAL EDUCATION,071,C1
1617018,"",Result: PASS,"",""
1617019,301,ENGLISH CORE,094,A1
1617019,030,ECONOMICS,095,A1
1617019,041,MATHEMATICS,095,A1
1617019,054,BUSINESS STUDIES,094,A1
1617019,055,ACCOUNTANCY,095,A1
1617019,500,WORK EXPERIENCE,---,A1
1617019,502,PHY & HEALTH EDUCA,---,A2
1617019,503,GENERAL STUDIES,---,A1
1617019,Additional Subject
1617019,048,PHYSICAL EDUCATION,071,C1
1617019,"",Result: PASS,"",""
1617020,301,ENGLISH CORE,059,C2
1617020,302,HINDI CORE,094,A1
1617020,030,ECONOMICS,086,A1
1617020,054,BUSINESS STUDIES,095,A1
1617020,055,ACCOUNTANCY,089,A1
1617020,500,WORK EXPERIENCE,---,A1
1617020,502,PHY & HEALTH EDUCA,---,A2
1617020,503,GENERAL STUDIES,---,A2
1617020,Additional Subject
1617020,048,PHYSICAL EDUCATION,069,C1
1617020,"",Result: PASS,"",""
1617021,301,ENGLISH CORE,048,D1
1617021,030,ECONOMICS,043,C2
1617021,054,BUSINESS STUDIES,052,C2
1617021,055,ACCOUNTANCY,054,C2
1617021,065,INFORMATICS PRAC.,076,C1
1617021,500,WORK EXPERIENCE,---,C1
1617021,502,PHY & HEALTH EDUCA,---,C2
1617021,503,GENERAL STUDIES,---,C2
1617021,Additional Subject
1617021,048,PHYSICAL EDUCATION,058,D1
1617021,"",Result: PASS,"",""
1617022,301,ENGLISH CORE,048,D1
1617022,302,HINDI CORE,064,C1
1617022,054,BUSINESS STUDIES,059,C1
1617022,055,ACCOUNTANCY,066,B2
1617022,607,TYPOGRAPHY &CA ENG,074,C1
1617022,500,WORK EXPERIENCE,---,B1
1617022,502,PHY & HEALTH EDUCA,---,B2
1617022,503,GENERAL STUDIES,---,B2
1617022,Additional Subject
1617022,048,PHYSICAL EDUCATION,058,D1
1617022,"",Result: PASS,"",""
1617023,301,ENGLISH CORE,045,D1
1617023,302,HINDI CORE,072,B2
1617023,054,BUSINESS STUDIES,049,D1
1617023,055,ACCOUNTANCY,060,C1
1617023,607,TYPOGRAPHY &CA ENG,078,B2
1617023,500,WORK EXPERIENCE,---,B2
1617023,502,PHY & HEALTH EDUCA,---,B2
1617023,503,GENERAL STUDIES,---,C2
1617023,Additional Subject
1617023,048,PHYSICAL EDUCATION,070,C1
1617023,"",Result: PASS,"",""
1617024,301,ENGLISH CORE,047,D1
1617024,030,ECONOMICS,064,B1
1617024,041,MATHEMATICS,045,C2
1617024,054,BUSINESS STUDIES,065,C1
1617024,055,ACCOUNTANCY,074,B1
1617024,500,WORK EXPERIENCE,---,B2
1617024,502,PHY & HEALTH EDUCA,---,B2
1617024,503,GENERAL STUDIES,---,C1
1617024,Additional Subject
1617024,048,PHYSICAL EDUCATION,061,D1
1617024,"",Result: PASS,"",""
1617025,301,ENGLISH CORE,092,A1
1617025,030,ECONOMICS,087,A1
1617025,041,MATHEMATICS,077,A2
1617025,054,BUSINESS STUDIES,091,A2
1617025,055,ACCOUNTANCY,095,A1
1617025,500,WORK EXPERIENCE,---,B1
1617025,502,PHY & HEALTH EDUCA,---,B2
1617025,503,GENERAL STUDIES,---,B2
1617025,Additional Subject
1617025,048,PHYSICAL EDUCATION,074,B2
1617025,"",Result: PASS,"",""
1617026,301,ENGLISH CORE,077,B1
1617026,030,ECONOMICS,090,A1
1617026,041,MATHEMATICS,081,A2
1617026,054,BUSINESS STUDIES,095,A1
1617026,055,ACCOUNTANCY,095,A1
1617026,500,WORK EXPERIENCE,---,C2
1617026,502,PHY & HEALTH EDUCA,---,B2
1617026,503,GENERAL STUDIES,---,B2
1617026,Additional Subject
1617026,048,PHYSICAL EDUCATION,075,B2
1617026,"",Result: PASS,"",""
1617027,301,ENGLISH CORE,068,C1
1617027,302,HINDI CORE,079,B1
1617027,054,BUSINESS STUDIES,085,A2
1617027,055,ACCOUNTANCY,082,A2
1617027,607,TYPOGRAPHY &CA ENG,084,A2
1617027,500,WORK EXPERIENCE,---,B1
1617027,502,PHY & HEALTH EDUCA,---,B1
1617027,503,GENERAL STUDIES,---,A2
1617027,Additional Subject
1617027,048,PHYSICAL EDUCATION,057,D1
1617027,"",Result: PASS,"",""
1617028,301,ENGLISH CORE,040,D2
1617028,302,HINDI CORE,059,C2
1617028,054,BUSINESS STUDIES,051,C2
1617028,055,ACCOUNTANCY,042,D2
1617028,607,TYPOGRAPHY &CA ENG,073,C2
1617028,500,WORK EXPERIENCE,---,B2
1617028,502,PHY & HEALTH EDUCA,---,C1
1617028,503,GENERAL STUDIES,---,C2
1617028,Additional Subject
1617028,048,PHYSICAL EDUCATION,057,D1
1617028,"",Result: PASS,"",""
1617029,301,ENGLISH CORE,087,A2
1617029,030,ECONOMICS,095,A1
1617029,054,BUSINESS STUDIES,095,A1
1617029,055,ACCOUNTANCY,095,A1
1617029,065,INFORMATICS PRAC.,085,B1
1617029,500,WORK EXPERIENCE,---,A1
1617029,502,PHY & HEALTH EDUCA,---,A1
1617029,503,GENERAL STUDIES,---,A2
1617029,Additional Subject
1617029,048,PHYSICAL EDUCATION,053,D2
1617029,"",Result: PASS,"",""
1617030,301,ENGLISH CORE,053,C2
1617030,302,HINDI CORE,058,C2
1617030,030,ECONOMICS,048,C1
1617030,054,BUSINESS STUDIES,053,C2
1617030,055,ACCOUNTANCY,057,C1
1617030,500,WORK EXPERIENCE,---,B2
1617030,502,PHY & HEALTH EDUCA,---,B2
1617030,503,GENERAL STUDIES,---,C1
1617030,Additional Subject
1617030,048,PHYSICAL EDUCATION,059,D1
1617030,"",Result: PASS,"",""
1617031,301,ENGLISH CORE,052,C2
1617031,054,BUSINESS STUDIES,073,B2
1617031,055,ACCOUNTANCY,065,B2
1617031,065,INFORMATICS PRAC.,086,B1
1617031,607,TYPOGRAPHY &CA ENG,080,B1
1617031,500,WORK EXPERIENCE,---,B1
1617031,502,PHY & HEALTH EDUCA,---,B2
1617031,503,GENERAL STUDIES,---,C2
1617031,Additional Subject
1617031,048,PHYSICAL EDUCATION,052,D2
1617031,"",Result: PASS,"",""
1617032,301,ENGLISH CORE,061,C1
1617032,302,HINDI CORE,076,B1
1617032,030,ECONOMICS,052,C1
1617032,054,BUSINESS STUDIES,082,B1
1617032,055,ACCOUNTANCY,064,B2
1617032,500,WORK EXPERIENCE,---,A1
1617032,502,PHY & HEALTH EDUCA,---,A2
1617032,503,GENERAL STUDIES,---,A2
1617032,Additional Subject
1617032,048,PHYSICAL EDUCATION,068,C1
1617032,"",Result: PASS,"",""
1617033,301,ENGLISH CORE,064,C1
1617033,302,HINDI CORE,088,A1
1617033,054,BUSINESS STUDIES,079,B1
1617033,055,ACCOUNTANCY,076,B1
1617033,607,TYPOGRAPHY &CA ENG,082,B1
1617033,500,WORK EXPERIENCE,---,B2
1617033,502,PHY & HEALTH EDUCA,---,B1
1617033,503,GENERAL STUDIES,---,B2
1617033,Additional Subject
1617033,048,PHYSICAL EDUCATION,066,C2
1617033,"",Result: PASS,"",""
1617034,301,ENGLISH CORE,093,A1
1617034,030,ECONOMICS,095,A1
1617034,041,MATHEMATICS,083,A2
1617034,054,BUSINESS STUDIES,096,A1
1617034,055,ACCOUNTANCY,094,A1
1617034,500,WORK EXPERIENCE,---,A1
1617034,502,PHY & HEALTH EDUCA,---,A2
1617034,503,GENERAL STUDIES,---,A2
1617034,Additional Subject
1617034,048,PHYSICAL EDUCATION,084,A2
1617034,"",Result: PASS,"",""
1617035,301,ENGLISH CORE,090,A1
1617035,302,HINDI CORE,088,A1
1617035,030,ECONOMICS,055,B2
1617035,054,BUSINESS STUDIES,095,A1
1617035,055,ACCOUNTANCY,072,B1
1617035,500,WORK EXPERIENCE,---,A1
1617035,502,PHY & HEALTH EDUCA,---,A1
1617035,503,GENERAL STUDIES,---,A1
1617035,Additional Subject
1617035,048,PHYSICAL EDUCATION,080,B1
1617035,"",Result: PASS,"",""
1617036,301,ENGLISH CORE,073,B2
1617036,302,HINDI CORE,085,A2
1617036,030,ECONOMICS,069,B1
1617036,054,BUSINESS STUDIES,074,B2
1617036,055,ACCOUNTANCY,086,A2
1617036,500,WORK EXPERIENCE,---,A1
1617036,502,PHY & HEALTH EDUCA,---,A1
1617036,503,GENERAL STUDIES,---,A1
1617036,Additional Subject
1617036,048,PHYSICAL EDUCATION,065,C2
1617036,"",Result: PASS,"",""
1617037,301,ENGLISH CORE,070,B2
1617037,030,ECONOMICS,080,A2
1617037,041,MATHEMATICS,065,B2
1617037,054,BUSINESS STUDIES,086,A2
1617037,055,ACCOUNTANCY,092,A1
1617037,500,WORK EXPERIENCE,---,B1
1617037,502,PHY & HEALTH EDUCA,---,B1
1617037,503,GENERAL STUDIES,---,B2
1617037,Additional Subject
1617037,048,PHYSICAL EDUCATION,074,B2
1617037,"",Result: PASS,"",""
1617038,301,ENGLISH CORE,087,A2
1617038,302,HINDI CORE,089,A1
1617038,030,ECONOMICS,087,A1
1617038,054,BUSINESS STUDIES,098,A1
1617038,055,ACCOUNTANCY,095,A1
1617038,500,WORK EXPERIENCE,---,A1
1617038,502,PHY & HEALTH EDUCA,---,A1
1617038,503,GENERAL STUDIES,---,A1
1617038,Additional Subject
1617038,048,PHYSICAL EDUCATION,075,B2
1617038,"",Result: PASS,"",""
1617039,301,ENGLISH CORE,053,C2
1617039,030,ECONOMICS,050,C1
1617039,054,BUSINESS STUDIES,054,C2
1617039,055,ACCOUNTANCY,055,C2
1617039,065,INFORMATICS PRAC.,068,C2
