9157018,502,PHY & HEALTH EDUCA,---,B1,false
9157018,503,GENERAL STUDIES,---,B1,false
9157018,"",Result: PASS,"","",false
9157019,301,ENGLISH CORE,095,A1,false
9157019,028,POLITICAL SCIENCE,095,A1,false
9157019,030,ECONOMICS,096,A1,false
9157019,037,PSYCHOLOGY,096,A1,false
9157019,064,HOME SCIENCE,093,A1,false
9157019,500,WORK EXPERIENCE,---,A1,false
9157019,502,PHY & HEALTH EDUCA,---,B1,false
9157019,503,GENERAL STUDIES,---,A1,false
9157019,041,MATHEMATICS,090,A2,true
9157019,"",Result: PASS,"","",true
9157020,301,ENGLISH CORE,095,A1,false
9157020,028,POLITICAL SCIENCE,088,A1,false
9157020,030,ECONOMICS,074,A2,false
9157020,039,SOCIOLOGY,093,A1,false
9157020,064,HOME SCIENCE,084,A1,false
9157020,500,WORK EXPERIENCE,---,A2,false
9157020,502,PHY & HEALTH EDUCA,---,A1,false
9157020,503,GENERAL STUDIES,---,A2,false
9157020,"",Result: PASS,"","",false
9157021,301,ENGLISH CORE,094,A1,false
9157021,028,POLITICAL SCIENCE,055,B2,false
9157021,030,ECONOMICS,071,B1,false
9157021,037,PSYCHOLOGY,065,C2,false
9157021,064,HOME SCIENCE,075,A2,false
9157021,500,WORK EXPERIENCE,---,B2,false
9157021,502,PHY & HEALTH EDUCA,---,B1,false
9157021,503,GENERAL STUDIES,---,B1,false
9157021,"",Result: PASS,"","",false
9157022,301,ENGLISH CORE,095,A1,false
9157022,028,POLITICAL SCIENCE,095,A1,false
9157022,030,ECONOMICS,085,A2,false
9157022,037,PSYCHOLOGY,081,B2,false
9157022,064,HOME SCIENCE,091,A1,false
9157022,500,WORK EXPERIENCE,---,B1,false
9157022,502,PHY & HEALTH EDUCA,---,A1,false
9157022,503,GENERAL STUDIES,---,A2,false
9157022,"",Result: PASS,"","",false
9157023,301,ENGLISH CORE,090,A1,false
9157023,028,POLITICAL SCIENCE,068,A2,false
9157023,030,ECONOMICS,052,C1,false
9157023,039,SOCIOLOGY,075,A2,false
9157023,064,HOME SCIENCE,088,A1,false
9157023,500,WORK EXPERIENCE,---,B1,false
9157023,502,PHY & HEALTH EDUCA,---,A2,false
9157023,503,GENERAL STUDIES,---,B2,false
9157023,"",Result: PASS,"","",false
9157024,301,ENGLISH CORE,090,A1,false
9157024,028,POLITICAL SCIENCE,051,B2,false
9157024,030,ECONOMICS,053,C1,false
9157024,039,SOCIOLOGY,057,C1,false
9157024,048,PHYSICAL EDUCATION,072,B2,false
9157024,500,WORK EXPERIENCE,---,A2,false
9157024,502,PHY & HEALTH EDUCA,---,B1,false
9157024,503,GENERAL STUDIES,---,B2,false
9157024,"",Result: PASS,"","",false
9157025,301,ENGLISH CORE,095,A1,false
9157025,028,POLITICAL SCIENCE,095,A1,false
9157025,030,ECONOMICS,098,A1,false
9157025,039,SOCIOLOGY,097,A1,false
9157025,064,HOME SCIENCE,091,A1,false
9157025,500,WORK EXPERIENCE,---,A2,false
9157025,502,PHY & HEALTH EDUCA,---,B1,false
9157025,503,GENERAL STUDIES,---,A2,false
9157025,"",Result: PASS,"","",false
9157026,301,ENGLISH CORE,086,A2,false
9157026,028,POLITICAL SCIENCE,088,A1,false
9157026,030,ECONOMICS,085,A2,false
9157026,037,PSYCHOLOGY,089,A2,false
9157026,064,HOME SCIENCE,086,A1,false
9157026,500,WORK EXPERIENCE,---,B2,false
9157026,502,PHY & HEALTH EDUCA,---,A1,false
9157026,503,GENERAL STUDIES,---,B1,false
9157026,"",Result: PASS,"","",false
9157027,301,ENGLISH CORE,095,A1,false
9157027,028,POLITICAL SCIENCE,086,A1,false
9157027,030,ECONOMICS,079,A2,false
9157027,039,SOCIOLOGY,062,B2,false
9157027,048,PHYSICAL EDUCATION,075,B2,false
9157027,500,WORK EXPERIENCE,---,B2,false
9157027,502,PHY & HEALTH EDUCA,---,A1,false
9157027,503,GENERAL STUDIES,---,A2,false
9157027,041,MATHEMATICS,035,D2,true
9157027,"",Result: PASS,"","",true
9157028,301,ENGLISH CORE,095,A1,false
9157028,028,POLITICAL SCIENCE,077,A2,false
9157028,030,ECONOMICS,056,B2,false
9157028,039,SOCIOLOGY,063,B1,false
9157028,048,PHYSICAL EDUCATION,068,C1,false
9157028,500,WORK EXPERIENCE,---,A1,false
9157028,502,PHY & HEALTH EDUCA,---,A2,false
9157028,503,GENERAL STUDIES,---,A2,false
9157028,"",Result: PASS,"","",false
9157029,301,ENGLISH CORE,081,B1,false
9157029,028,POLITICAL SCIENCE,065,B1,false
9157029,030,ECONOMICS,085,A2,false
9157029,039,SOCIOLOGY,060,B2,false
9157029,064,HOME SCIENCE,085,A1,false
9157029,500,WORK EXPERIENCE,---,B1,false
9157029,502,PHY & HEALTH EDUCA,---,A2,false
9157029,503,GENERAL STUDIES,---,B1,false
9157029,"",Result: PASS,"","",false
9157030,301,ENGLISH CORE,092,A1,false
9157030,028,POLITICAL SCIENCE,091,A1,false
9157030,030,ECONOMICS,068,B1,false
9157030,039,SOCIOLOGY,086,A1,false
9157030,048,PHYSICAL EDUCATION,071,C1,false
9157030,500,WORK EXPERIENCE,---,B2,false
9157030,502,PHY & HEALTH EDUCA,---,A1,false
9157030,503,GENERAL STUDIES,---,B1,false
9157030,"",Result: PASS,"","",false
9157031,301,ENGLISH CORE,094,A1,false
9157031,028,POLITICAL SCIENCE,088,A1,false
9157031,030,ECONOMICS,062,B2,false
9157031,039,SOCIOLOGY,056,C1,false
9157031,064,HOME SCIENCE,088,A1,false
9157031,500,WORK EXPERIENCE,---,B1,false
9157031,502,PHY & HEALTH EDUCA,---,A2,false
9157031,503,GENERAL STUDIES,---,B1,false
9157031,"",Result: PASS,"","",false
9157032,301,ENGLISH CORE,095,A1,false
9157032,028,POLITICAL SCIENCE,073,A2,false
9157032,030,ECONOMICS,064,B1,false
9157032,037,PSYCHOLOGY,084,B1,false
9157032,048,PHYSICAL EDUCATION,075,B2,false
9157032,500,WORK EXPERIENCE,---,B1,false
9157032,502,PHY & HEALTH EDUCA,---,A2,false
9157032,503,GENERAL STUDIES,---,B2,false
9157032,"",Result: PASS,"","",false
9157033,301,ENGLISH CORE,081,B1,false
9157033,028,POLITICAL SCIENCE,083,A1,false
9157033,030,ECONOMICS,073,A2,false
9157033,037,PSYCHOLOGY,067,C2,false
9157033,064,HOME SCIENCE,084,A1,false
9157033,500,WORK EXPERIENCE,---,A1,false
9157033,502,PHY & HEALTH EDUCA,---,A2,false
9157033,503,GENERAL STUDIES,---,A2,false
9157033,"",Result: PASS,"","",false
9157034,301,ENGLISH CORE,085,A2,false
9157034,030,ECONOMICS,067,B1,false
9157034,054,BUSINESS STUDIES,076,B1,false
9157034,055,ACCOUNTANCY,060,C1,false
9157034,065,INFORMATICS PRAC.,095,A1,false
9157034,500,WORK EXPERIENCE,---,A2,false
9157034,502,PHY & HEALTH EDUCA,---,B1,false
9157034,503,GENERAL STUDIES,---,A1,false
9157034,"",Result: PASS,"","",false
9157035,301,ENGLISH CORE,093,A1,false
9157035,030,ECONOMICS,076,A2,false
9157035,054,BUSINESS STUDIES,060,C1,false
9157035,055,ACCOUNTANCY,063,B2,false
9157035,065,INFORMATICS PRAC.,096,A1,false
9157035,500,WORK EXPERIENCE,---,B1,false
9157035,502,PHY & HEALTH EDUCA,---,B1,false
9157035,503,GENERAL STUDIES,---,A1,false
9157035,"",Result: PASS,"","",false
9157036,301,ENGLISH CORE,091,A1,false
9157036,030,ECONOMICS,089,A1,false
9157036,054,BUSINESS STUDIES,082,B1,false
9157036,055,ACCOUNTANCY,065,B2,false
9157036,065,INFORMATICS PRAC.,096,A1,false
9157036,500,WORK EXPERIENCE,---,A2,false
9157036,502,PHY & HEALTH EDUCA,---,B1,false
9157036,503,GENERAL STUDIES,---,A2,false
9157036,"",Result: PASS,"","",false
9157037,301,ENGLISH CORE,092,A1,false
